nb,rank,residual_ranked,residual_change,extracted_pde
5,5,0.00045891045,99.46012496948242,D_t U = 0.002903  + -0.100055(U) + 0.240595(D_x U) + -0.114010(D_x^2 U) + -0.102138(D_x U)(D_x^2 U)
6,4,0.00017056444,169.0540075302124,D_t U = 0.002903  + -0.100417(U) + 0.240567(D_x U) + -0.113990(D_x^2 U) + 0.016452(U)(U) + -0.101296(D_x U)(D_x^2 U)
7,3,4.979243e-05,206.09946250915527,D_t U = 0.002903  + -0.100411(U) + 0.239408(D_x U) + -0.114088(D_x^2 U) + 0.016249(U)(U) + 0.071159(U)(D_x U) + 0.034253(D_x U)(D_x U) + -0.065847(D_x U)(D_x^2 U)
8,2,0.033493053,256.091046333313,D_t U = 0.002889  + -0.098161(U) + 0.355470(D_x U)
9,1,0.00091534335,3559.06982421875,D_t U = 0.002903  + -0.100032(U) + 0.238188(D_x U) + -0.113033(D_x^2 U)
15,5,0.00046149193,98.13250303268433,D_t U = 0.002903  + -0.100053(U) + 0.240616(D_x U) + -0.114040(D_x^2 U) + -0.102738(D_x U)(D_x^2 U)
16,4,0.00016922435,172.710120677948,D_t U = 0.002903  + -0.100416(U) + 0.240559(D_x U) + -0.114026(D_x^2 U) + 0.016489(U)(U) + -0.101647(D_x U)(D_x^2 U)
17,3,5.1765644e-05,198.30318689346313,D_t U = 0.002903  + -0.100410(U) + 0.239408(D_x U) + -0.114090(D_x^2 U) + 0.016221(U)(U) + 0.070724(U)(D_x U) + 0.034564(D_x U)(D_x U) + -0.065144(D_x U)(D_x^2 U)
18,2,0.03393005,250.25014877319336,D_t U = 0.002887  + -0.097996(U) + 0.354393(D_x U)
19,1,0.0009143655,3610.775375366211,D_t U = 0.002903  + -0.100027(U) + 0.238248(D_x U) + -0.113228(D_x^2 U)
